Finite Time (ns): ,2400,,Fuzzy Time (ns): ,1298400
Finite Time (ns): ,1700,,Fuzzy Time (ns): ,1307600
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,921900
Finite Time (ns): ,2100,,Fuzzy Time (ns): ,861100
Finite Time (ns): ,25400,,Fuzzy Time (ns): ,1448800
Finite Time (ns): ,2000,,Fuzzy Time (ns): ,814600
Finite Time (ns): ,2800,,Fuzzy Time (ns): ,775400
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,776700
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,828900
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,972900
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,1231900
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,894300
Finite Time (ns): ,700,,Fuzzy Time (ns): ,743300
Finite Time (ns): ,900,,Fuzzy Time (ns): ,790600
Finite Time (ns): ,900,,Fuzzy Time (ns): ,843000
Finite Time (ns): ,900,,Fuzzy Time (ns): ,798600
Finite Time (ns): ,700,,Fuzzy Time (ns): ,680400
Finite Time (ns): ,600,,Fuzzy Time (ns): ,718100
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,790500
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,806200
Finite Time (ns): ,800,,Fuzzy Time (ns): ,725900
Finite Time (ns): ,900,,Fuzzy Time (ns): ,685000
Finite Time (ns): ,900,,Fuzzy Time (ns): ,1467800
Finite Time (ns): ,900,,Fuzzy Time (ns): ,1253900
Finite Time (ns): ,1300,,Fuzzy Time (ns): ,769200
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,1040800
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,908100
Finite Time (ns): ,800,,Fuzzy Time (ns): ,1020000
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,775500
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,1079200
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,788300
Finite Time (ns): ,2500,,Fuzzy Time (ns): ,1060400
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,813200
Finite Time (ns): ,800,,Fuzzy Time (ns): ,852000
Finite Time (ns): ,900,,Fuzzy Time (ns): ,907800
Finite Time (ns): ,900,,Fuzzy Time (ns): ,793300
Finite Time (ns): ,1200,,Fuzzy Time (ns): ,853300
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,808900
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1085900
Finite Time (ns): ,900,,Fuzzy Time (ns): ,964300
Finite Time (ns): ,800,,Fuzzy Time (ns): ,837200
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,711500
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,712500
Finite Time (ns): ,700,,Fuzzy Time (ns): ,737900
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,717400
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,723800
Finite Time (ns): ,800,,Fuzzy Time (ns): ,1028900
Finite Time (ns): ,2200,,Fuzzy Time (ns): ,1158800
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,947700
Finite Time (ns): ,800,,Fuzzy Time (ns): ,787600
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,839200
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1013100
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,741200
Finite Time (ns): ,1100,,Fuzzy Time (ns): ,835100
Finite Time (ns): ,800,,Fuzzy Time (ns): ,655600
Finite Time (ns): ,700,,Fuzzy Time (ns): ,825600
Finite Time (ns): ,600,,Fuzzy Time (ns): ,827800
Finite Time (ns): ,600,,Fuzzy Time (ns): ,1101300
Finite Time (ns): ,800,,Fuzzy Time (ns): ,1020400
Finite Time (ns): ,1000,,Fuzzy Time (ns): ,982100
Finite Time (ns): ,1900,,Fuzzy Time (ns): ,985300
Finite Time (ns): ,900,,Fuzzy Time (ns): ,1266800
Finite Time (ns): ,1800,,Fuzzy Time (ns): ,1361600
Finite Time (ns): ,1600,,Fuzzy Time (ns): ,810300
Finite Time (ns): ,2400,,Fuzzy Time (ns): ,1144800
Finite Time (ns): ,3500,,Fuzzy Time (ns): ,1318900
Finite Time (ns): ,1500,,Fuzzy Time (ns): ,1077900
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,905300
Finite Time (ns): ,1400,,Fuzzy Time (ns): ,1336400
